Product Title,Product Description,Price /day,Price /week,Price /month
"5-6 yd. Non-CDL Dump Truck, Gas, 659-6160","Standard traction and stability control improves highway control
Included 10,000 lb. tow package and backup camera extends dump truck rental versatility
ProControl in-truck Telematics permits remote monitoring of vehicle power train, speed and location",495,1395,3495
"500 gal. Water Trailer, 610-2420","Quick Disconnect fittings ensure faster hose hookup
Hydraulic brake system offers safer braking and towing
Steel bin is attached to the trailer for convenient hose and accessory storage",495,1395,3495
"62-65 mph Truck Mounted Attenuator, Diesel, 659-6260","Remote controls allow operators to safely deploy the attenuator and arrow board from inside the cab
A Bendix Intellipark Electronic Parking Brake prevents unintended truck movement
The attenuator's curved side rails deflect errant vehicles from the truck",495,1395,3495
"62-65 mph Truck Mounted Attenuator, Gas, 659-6250","Attenuator truck rental comes with strobe and work lights to achieve maximum visibility and ensure your workers' safety
Remote control enables your crew to easily set up the attenuator and activate the arrow board from inside the truck cab",495,1395,3495
"7,000 lbs. Tilt Trailer, 610-1766","Deck height of 14 in. loaded and 16 in. unloaded let workers easily place and remove cargo
Spring suspension ensures a smooth and stable ride
LED lights make the trailer highly visible during the day and night",495,1395,3495
"8,000-9,995 lbs. Single Cable Reel Trailer, 610-1500","Battery-powered electrohydraulic rim drive to wind and unwind cable reels
Leg-locking mechanism keeps cable reels securely in place
7,000-lb. top-wind drop-leg jack stabilizes the trailer during loading and unloading",495,1395,3495
"Single Axle Dump Trailer, 610-2200","Gas-powered hydraulics make it easy to tilt the dump trailer for emptying
Included remote increases flexibility and ease of operation
A double-acting spreader gate enables controlled spreading of gravel, soil and other materials",495,1395,3495
"Standard Cab Compact Pickup Truck, 659-5000","4,340-lb. truck is relatively small and saves on fuel
Compact size with 212.7"" x 74.3"" x 70.6"" dimensions",495,1395,3495
"Tandem Axle Dump Trailer, 610-2230","Unloaded deck height of 24 in. offers clearance for off-road job locations
Rear gate incorporates a spreader assembly to facilitate even dumping
Electric self-adjusting brakes on both axles provide excellent stopping ability",495,1395,3495
"Terminal Tractor Truck, Single Axle Diesel, 659-6440","Unique single-operator cab with rear entry provides excellent visibility
Tractor trailer rental uses telematics for remote monitoring of vehicle parameters
Automatic oil pressure and coolant temperature shutdown system protects against engine failure",495,1395,3495
"5-6 yd. Non-CDL Dump Truck, Gas, 659-6160","Standard traction and stability control improves highway control
Included 10,000 lb. tow package and backup camera extends dump truck rental versatility
ProControl in-truck Telematics permits remote monitoring of vehicle power train, speed and location",495,1395,3495
"500 gal. Water Trailer, 610-2420","Quick Disconnect fittings ensure faster hose hookup
Hydraulic brake system offers safer braking and towing
Steel bin is attached to the trailer for convenient hose and accessory storage",495,1395,3495
"62-65 mph Truck Mounted Attenuator, Diesel, 659-6260","Remote controls allow operators to safely deploy the attenuator and arrow board from inside the cab
A Bendix Intellipark Electronic Parking Brake prevents unintended truck movement
The attenuator's curved side rails deflect errant vehicles from the truck",495,1395,3495
"62-65 mph Truck Mounted Attenuator, Gas, 659-6250","Attenuator truck rental comes with strobe and work lights to achieve maximum visibility and ensure your workers' safety
Remote control enables your crew to easily set up the attenuator and activate the arrow board from inside the truck cab",495,1395,3495
"7,000 lbs. Tilt Trailer, 610-1766","Deck height of 14 in. loaded and 16 in. unloaded let workers easily place and remove cargo
Spring suspension ensures a smooth and stable ride
LED lights make the trailer highly visible during the day and night",495,1395,3495
"8,000-9,995 lbs. Single Cable Reel Trailer, 610-1500","Battery-powered electrohydraulic rim drive to wind and unwind cable reels
Leg-locking mechanism keeps cable reels securely in place
7,000-lb. top-wind drop-leg jack stabilizes the trailer during loading and unloading",495,1395,3495
"Single Axle Dump Trailer, 610-2200","Gas-powered hydraulics make it easy to tilt the dump trailer for emptying
Included remote increases flexibility and ease of operation
A double-acting spreader gate enables controlled spreading of gravel, soil and other materials",495,1395,3495
